Goal,Initial,Mis. Path Cost,Mis. # Nodes,Mis.Time(mili),Mis. Seq.,Man. Path Cost,Man. # Nodes,Man.Time(mili),Man. Seq.,
123456780,356174820,30,2829,7,Swap 6 & 3->Swap 5 & 2->Swap 5 & 1->Swap 2 & 4->Swap 7 & 2->Swap 7 & 5->Swap 8 & 2->Swap 5 & 7->Swap 2 & 8->Swap 4 & 1->Swap 1 & 4->Swap 8 & 2->Swap 4 & 1->Swap 3 & 1->Swap 3 & 7->Swap 7 & 4->Swap 1 & 4->Swap 7 & 5->Swap 3 & 7->Swap 8 & 7->Swap 7 & 8->Swap 1 & 7->Swap 2 & 7->Swap 7 & 8->Swap 4 & 2->Swap 1 & 3->Swap 2 & 6->Swap 4 & 3->Swap 3 & 5->Swap 2 & 3->DONE,30,151,0,Swap 6 & 3->Swap 5 & 2->Swap 5 & 1->Swap 2 & 4->Swap 7 & 2->Swap 7 & 5->Swap 8 & 2->Swap 5 & 7->Swap 2 & 8->Swap 4 & 1->Swap 1 & 4->Swap 8 & 2->Swap 4 & 1->Swap 3 & 1->Swap 3 & 7->Swap 7 & 4->Swap 1 & 4->Swap 7 & 5->Swap 3 & 7->Swap 8 & 7->Swap 7 & 8->Swap 1 & 7->Swap 2 & 7->Swap 2 & 5->Swap 7 & 8->Swap 4 & 5->Swap 1 & 3->Swap 4 & 3->Swap 5 & 3->Swap 3 & 6->DONE,
123456780,723146508,12,56,1,Swap 6 & 3->Swap 5 & 4->Swap 7 & 5->Swap 7 & 1->Swap 3 & 6->Swap 8 & 4->Swap 4 & 8->Swap 0 & 8->Swap 8 & 0->Swap 1 & 7->Swap 5 & 7->Swap 4 & 5->DONE,12,45,0,Swap 6 & 3->Swap 5 & 4->Swap 7 & 5->Swap 7 & 1->Swap 3 & 6->Swap 8 & 4->Swap 4 & 8->Swap 0 & 8->Swap 1 & 7->Swap 5 & 7->Swap 4 & 5->Swap 8 & 0->DONE,
123456780,812453067,28,490,1,Swap 6 & 5->Swap 3 & 2->Swap 5 & 6->Swap 8 & 5->Swap 5 & 7->Swap 7 & 5->Swap 8 & 3->Swap 0 & 6->Swap 3 & 8->Swap 8 & 3->Swap 8 & 1->Swap 5 & 7->Swap 1 & 8->Swap 0 & 3->Swap 0 & 4->Swap 5 & 0->Swap 4 & 5->Swap 8 & 1->Swap 5 & 1->Swap 1 & 5->Swap 6 & 7->Swap 1 & 8->Swap 2 & 8->Swap 7 & 6->Swap 3 & 8->Swap 6 & 8->Swap 7 & 0->Swap 8 & 0->DONE,28,89,0,Swap 6 & 5->Swap 3 & 2->Swap 5 & 6->Swap 8 & 5->Swap 5 & 7->Swap 7 & 5->Swap 8 & 3->Swap 0 & 6->Swap 3 & 8->Swap 8 & 3->Swap 8 & 1->Swap 5 & 7->Swap 1 & 8->Swap 0 & 3->Swap 0 & 4->Swap 5 & 0->Swap 4 & 5->Swap 8 & 1->Swap 5 & 1->Swap 1 & 5->Swap 6 & 7->Swap 1 & 8->Swap 7 & 6->Swap 7 & 0->Swap 2 & 8->Swap 3 & 8->Swap 6 & 8->Swap 8 & 0->DONE,
123456780,263854170,26,934,2,Swap 5 & 2->Swap 5 & 1->Swap 2 & 4->Swap 4 & 1->Swap 2 & 5->Swap 8 & 1->Swap 0 & 1->Swap 5 & 2->Swap 1 & 0->Swap 2 & 5->Swap 6 & 8->Swap 8 & 6->Swap 8 & 5->Swap 6 & 3->Swap 1 & 7->Swap 5 & 8->Swap 6 & 4->Swap 8 & 5->Swap 3 & 4->Swap 1 & 8->Swap 7 & 8->Swap 6 & 2->Swap 1 & 6->Swap 5 & 6->Swap 4 & 6->Swap 4 & 5->DONE,26,111,1,Swap 5 & 2->Swap 5 & 1->Swap 2 & 4->Swap 4 & 1->Swap 2 & 5->Swap 8 & 1->Swap 0 & 1->Swap 5 & 2->Swap 1 & 0->Swap 2 & 5->Swap 6 & 8->Swap 8 & 6->Swap 8 & 5->Swap 6 & 3->Swap 1 & 7->Swap 5 & 8->Swap 6 & 4->Swap 8 & 5->Swap 3 & 4->Swap 1 & 8->Swap 7 & 8->Swap 5 & 6->Swap 4 & 6->Swap 4 & 1->Swap 1 & 5->Swap 1 & 2->DONE,
123456780,480713256,16,489,1,Swap 0 & 6->Swap 2 & 1->Swap 8 & 5->Swap 0 & 3->Swap 3 & 8->Swap 8 & 3->Swap 4 & 2->Swap 7 & 2->Swap 8 & 1->Swap 2 & 7->Swap 3 & 0->Swap 6 & 0->Swap 2 & 4->Swap 1 & 8->Swap 1 & 2->Swap 5 & 8->DONE,16,78,0,Swap 0 & 6->Swap 2 & 1->Swap 8 & 5->Swap 0 & 3->Swap 3 & 8->Swap 8 & 3->Swap 4 & 2->Swap 7 & 2->Swap 8 & 1->Swap 1 & 8->Swap 3 & 0->Swap 2 & 7->Swap 2 & 4->Swap 1 & 2->Swap 5 & 8->Swap 6 & 0->DONE,
123456780,756134280,14,466,1,Swap 5 & 4->Swap 6 & 3->Swap 5 & 1->Swap 7 & 1->Swap 2 & 5->Swap 7 & 2->Swap 1 & 2->Swap 3 & 4->Swap 1 & 7->Swap 2 & 7->Swap 4 & 3->Swap 3 & 6->Swap 4 & 2->Swap 2 & 5->DONE,14,88,0,Swap 5 & 4->Swap 6 & 3->Swap 5 & 1->Swap 7 & 1->Swap 2 & 5->Swap 7 & 2->Swap 1 & 2->Swap 3 & 4->Swap 1 & 7->Swap 2 & 7->Swap 4 & 3->Swap 3 & 6->Swap 4 & 2->Swap 2 & 5->DONE,
123456780,431268705,20,110,1,Swap 0 & 8->Swap 3 & 2->Swap 6 & 5->Swap 2 & 3->Swap 2 & 1->Swap 5 & 6->Swap 0 & 7->Swap 7 & 0->Swap 4 & 2->Swap 6 & 5->Swap 0 & 6->Swap 8 & 5->Swap 6 & 0->Swap 3 & 1->Swap 2 & 4->Swap 1 & 3->Swap 1 & 2->Swap 8 & 6->Swap 5 & 0->Swap 5 & 8->DONE,20,67,0,Swap 0 & 8->Swap 3 & 2->Swap 6 & 5->Swap 2 & 3->Swap 2 & 1->Swap 5 & 6->Swap 0 & 7->Swap 7 & 0->Swap 4 & 2->Swap 6 & 5->Swap 0 & 6->Swap 8 & 5->Swap 6 & 0->Swap 3 & 1->Swap 2 & 4->Swap 1 & 3->Swap 1 & 2->Swap 8 & 6->Swap 5 & 0->Swap 5 & 8->DONE,
123456780,826573140,16,473,1,Swap 8 & 7->Swap 8 & 4->Swap 7 & 5->Swap 5 & 4->Swap 4 & 7->Swap 6 & 3->Swap 8 & 1->Swap 7 & 4->Swap 5 & 1->Swap 3 & 6->Swap 7 & 5->Swap 7 & 8->Swap 1 & 8->Swap 4 & 8->Swap 1 & 7->Swap 4 & 7->DONE,16,78,0,Swap 8 & 7->Swap 8 & 4->Swap 7 & 5->Swap 5 & 4->Swap 4 & 7->Swap 6 & 3->Swap 8 & 1->Swap 7 & 4->Swap 5 & 1->Swap 3 & 6->Swap 7 & 5->Swap 1 & 7->Swap 1 & 8->Swap 7 & 8->Swap 4 & 8->Swap 4 & 7->DONE,
123456780,42368517,40,16882,99,Swap 8 & 5->Swap 5 & 8->Swap 8 & 7->Swap 3 & 2->Swap 6 & 2->Swap 0 & 7->Swap 0 & 5->Swap 3 & 1->Swap 0 & 1->Swap 5 & 8->Swap 2 & 6->Swap 7 & 6->Swap 1 & 0->Swap 8 & 5->Swap 0 & 1->Swap 5 & 8->Swap 8 & 1->Swap 6 & 7->Swap 4 & 3->Swap 7 & 6->Swap 3 & 4->Swap 8 & 0->Swap 4 & 3->Swap 0 & 8->Swap 6 & 7->Swap 8 & 3->Swap 3 & 8->Swap 6 & 8->Swap 0 & 4->Swap 3 & 0->Swap 4 & 3->Swap 2 & 3->Swap 8 & 6->Swap 1 & 5->Swap 1 & 0->Swap 1 & 4->Swap 5 & 0->Swap 7 & 0->Swap 7 & 5->Swap 5 & 8->DONE,40,122,0,Swap 8 & 5->Swap 5 & 8->Swap 8 & 7->Swap 3 & 2->Swap 6 & 2->Swap 0 & 7->Swap 0 & 5->Swap 3 & 1->Swap 0 & 1->Swap 5 & 8->Swap 2 & 6->Swap 7 & 6->Swap 1 & 0->Swap 8 & 5->Swap 0 & 1->Swap 5 & 8->Swap 8 & 1->Swap 6 & 7->Swap 4 & 3->Swap 7 & 6->Swap 3 & 4->Swap 8 & 0->Swap 4 & 3->Swap 0 & 8->Swap 6 & 7->Swap 8 & 3->Swap 3 & 8->Swap 6 & 8->Swap 0 & 4->Swap 3 & 0->Swap 4 & 3->Swap 2 & 3->Swap 5 & 0->Swap 8 & 6->Swap 1 & 8->Swap 1 & 5->Swap 1 & 4->Swap 8 & 0->Swap 7 & 0->Swap 7 & 8->DONE,
123456780,123456780,0,0,0,DONE,0,0,0,DONE,
123456780,123456780,0,0,0,DONE,0,0,0,DONE,
123456780,185764320,28,309,1,Swap 5 & 2->Swap 2 & 4->Swap 0 & 6->Swap 0 & 3->Swap 0 & 5->Swap 7 & 2->Swap 3 & 4->Swap 6 & 4->Swap 6 & 3->Swap 8 & 6->Swap 4 & 3->Swap 3 & 6->Swap 3 & 2->Swap 2 & 3->Swap 3 & 2->Swap 8 & 0->Swap 2 & 0->Swap 3 & 7->Swap 6 & 0->Swap 7 & 3->Swap 6 & 2->Swap 3 & 7->Swap 4 & 6->Swap 4 & 3->Swap 3 & 8->Swap 5 & 3->Swap 2 & 8->Swap 2 & 5->DONE,28,78,0,Swap 5 & 2->Swap 2 & 4->Swap 0 & 6->Swap 0 & 3->Swap 0 & 5->Swap 7 & 2->Swap 3 & 4->Swap 6 & 4->Swap 6 & 3->Swap 8 & 6->Swap 4 & 3->Swap 3 & 6->Swap 3 & 2->Swap 2 & 3->Swap 3 & 2->Swap 8 & 0->Swap 2 & 0->Swap 3 & 7->Swap 6 & 0->Swap 7 & 3->Swap 6 & 2->Swap 3 & 7->Swap 4 & 6->Swap 4 & 3->Swap 3 & 8->Swap 5 & 3->Swap 2 & 8->Swap 2 & 5->DONE,
