Goal,Initial,Mis. Path Cost,Mis. # Nodes,Mis.Time,Mis. Seq.,Man. Path Cost,Man. # Nodes,Man.Time,Man. Seq.,
123456780,103425786,10,8,55283,Down->Right->Down->Up->Left->Right->Down->Up->Left->Up->DONE,10,8,34965,Down->Right->Down->Up->Left->Right->Down->Up->Left->Up->DONE,
123456780,123460758,10,8,34500,Right->Down->Left->Up->Down->Down->Up->Right->Up->Left->DONE,10,8,67479,Right->Down->Left->Up->Down->Down->Up->Right->Up->Left->DONE,
123456780,120463758,10,9,59015,Right->Down->Left->Down->Up->Right->Down->Up->Up->Left->DONE,10,9,58744,Right->Down->Left->Down->Up->Right->Down->Up->Up->Left->DONE,
123456780,23156478,8,7,47443,Right->Right->Down->Down->Up->Up->Left->Left->DONE,8,7,53151,Right->Right->Down->Down->Up->Up->Left->Left->DONE,
123456780,103426758,14,8,56742,Right->Down->Down->Up->Up->Down->Left->Right->Up->Left->Down->Down->Up->Up->DONE,14,8,57783,Right->Down->Down->Up->Up->Down->Left->Right->Up->Left->Down->Down->Up->Up->DONE,
123456780,123406758,8,6,36815,Right->Down->Down->Right->Left->Up->Up->Left->DONE,8,6,37283,Right->Down->Down->Right->Left->Up->Up->Left->DONE,
123456780,136502478,16,33,273458,Right->Right->Down->Left->Down->Left->Up->Right->Left->Down->Right->Up->Right->Up->Left->Left->DONE,16,23,184084,Right->Right->Down->Left->Down->Left->Up->Right->Left->Down->Right->Up->Right->Up->Left->Left->DONE,
123456780,120463758,10,9,63183,Right->Down->Left->Down->Up->Right->Right->Left->Up->Left->DONE,10,9,66495,Right->Down->Left->Down->Up->Right->Right->Left->Up->Left->DONE,
123456780,123056478,10,6,44881,Right->Right->Down->Up->Down->Up->Left->Down->Up->Left->DONE,10,6,43730,Right->Right->Down->Up->Down->Up->Left->Down->Up->Left->DONE,
123456780,123456078,12,4,31228,Right->Right->Left->Left->Right->Left->Right->Down->Up->Left->Right->Left->DONE,12,4,31397,Right->Right->Left->Left->Right->Left->Right->Down->Up->Left->Right->Left->DONE,
123456780,123405786,8,6,40233,Down->Right->Down->Up->Left->Down->Up->Up->DONE,8,6,38214,Down->Right->Down->Up->Left->Down->Up->Up->DONE,
123456780,123450786,8,3,19377,Down->Down->Up->Up->Right->Left->Right->Left->DONE,8,3,19104,Down->Down->Up->Up->Right->Left->Right->Left->DONE,
123456780,123450786,8,3,18288,Down->Down->Up->Up->Down->Down->Up->Up->DONE,8,3,18239,Down->Down->Up->Up->Down->Down->Up->Up->DONE,
123456780,123456708,8,3,30822,Right->Right->Left->Left->Right->Right->Left->Left->DONE,8,3,18574,Right->Right->Left->Left->Right->Right->Left->Left->DONE,
123456780,123706548,12,22,157047,Right->Down->Right->Up->Left->Down->Up->Right->Down->Left->Up->Left->DONE,12,15,111888,Right->Down->Right->Up->Left->Down->Up->Right->Down->Left->Up->Left->DONE,
123456780,135426708,16,28,207091,Down->Right->Down->Left->Up->Up->Right->Left->Down->Down->Right->Right->Left->Up->Left->Up->DONE,16,18,137001,Down->Right->Down->Left->Up->Up->Right->Left->Down->Down->Right->Right->Left->Up->Left->Up->DONE,
123456780,123056478,12,6,53199,Right->Right->Down->Up->Down->Down->Up->Up->Left->Left->Down->Up->DONE,12,6,47968,Right->Right->Down->Up->Down->Down->Up->Up->Left->Left->Down->Up->DONE,
123456780,123456078,6,4,37955,Right->Right->Left->Left->Down->Up->DONE,6,4,27701,Right->Right->Left->Left->Down->Up->DONE,
123456780,102463758,14,11,83039,Right->Down->Left->Down->Right->Up->Down->Left->Up->Up->Down->Right->Up->Left->DONE,14,11,82524,Right->Down->Left->Down->Right->Up->Down->Left->Up->Up->Down->Right->Up->Left->DONE,
123456780,403216758,18,23,167894,Right->Down->Down->Right->Up->Left->Down->Right->Left->Up->Right->Up->Down->Down->Left->Up->Up->Left->DONE,18,19,147606,Right->Down->Down->Right->Up->Left->Down->Right->Left->Up->Right->Up->Down->Down->Left->Up->Up->Left->DONE,
123456780,120453786,10,4,38769,Down->Down->Up->Down->Up->Down->Up->Up->Right->Left->DONE,10,4,29667,Down->Down->Up->Down->Up->Down->Up->Up->Right->Left->DONE,
123456780,135420786,12,15,103016,Down->Right->Down->Left->Up->Down->Right->Up->Left->Down->Up->Up->DONE,12,12,98321,Down->Right->Down->Left->Up->Down->Right->Up->Left->Down->Up->Up->DONE,
123456780,123456780,10,0,7439,Right->Down->Left->Right->Up->Down->Up->Left->Right->Left->DONE,10,0,5529,Right->Down->Left->Right->Up->Down->Up->Left->Right->Left->DONE,
123456780,203146758,12,11,75901,Right->Down->Right->Down->Left->Right->Up->Left->Up->Down->Up->Left->DONE,12,11,78074,Right->Down->Right->Down->Left->Right->Up->Left->Up->Down->Up->Left->DONE,
123456780,123456078,4,4,26159,Right->Right->Left->Left->DONE,4,4,25503,Right->Right->Left->Left->DONE,
123456780,123045786,12,8,52999,Down->Right->Right->Left->Left->Right->Down->Up->Left->Up->Right->Left->DONE,12,8,53808,Down->Right->Right->Left->Left->Right->Down->Up->Left->Up->Right->Left->DONE,
123456780,413725086,16,12,84557,Down->Right->Down->Right->Up->Up->Down->Up->Left->Right->Down->Down->Left->Up->Left->Up->DONE,16,12,93718,Down->Right->Down->Right->Up->Up->Down->Up->Left->Right->Down->Down->Left->Up->Left->Up->DONE,
123456780,123450786,8,3,18456,Down->Right->Down->Up->Left->Up->Down->Up->DONE,8,3,18698,Down->Right->Down->Up->Left->Up->Down->Up->DONE,
123456780,123456780,10,0,6326,Down->Right->Left->Down->Up->Up->Right->Left->Down->Up->DONE,10,0,4805,Down->Right->Left->Down->Up->Up->Right->Left->Down->Up->DONE,
123456780,420513786,18,40,308393,Down->Down->Right->Right->Up->Left->Down->Left->Right->Up->Left->Right->Right->Down->Left->Left->Up->Up->DONE,18,26,138013,Down->Down->Right->Right->Up->Left->Down->Left->Right->Up->Left->Right->Right->Down->Left->Left->Up->Up->DONE,
123456780,123506478,8,9,60465,Right->Right->Down->Left->Right->Up->Left->Left->DONE,8,9,60900,Right->Right->Down->Left->Right->Up->Left->Left->DONE,
123456780,123460758,14,8,59892,Right->Down->Left->Right->Up->Right->Left->Down->Right->Left->Up->Left->Down->Up->DONE,14,8,37901,Right->Down->Left->Right->Up->Right->Left->Down->Right->Left->Up->Left->Down->Up->DONE,
123456780,102453786,8,6,45473,Down->Down->Right->Left->Right->Left->Up->Up->DONE,8,6,51844,Down->Down->Right->Left->Right->Left->Up->Up->DONE,
123456780,102453786,6,6,40655,Down->Down->Right->Left->Up->Up->DONE,6,6,49773,Down->Down->Right->Left->Up->Up->DONE,
