Goal,Initial,Mis. Path Cost,Mis. # Nodes,Mis.Time,Mis. Seq.,Man. Path Cost,Man. # Nodes,Man.Time,Man. Seq.
123456780,123468750,11,11,168065,Right->Down->Left->Up->Down->Up->Down->Right->Up->Down->Up->DONE,11,9,137405,Right->Down->Left->Up->Down->Up->Down->Right->Up->Down->Up->DONE
123456780,123506478,11,9,108288,Right->Right->Down->Left->Right->Up->Left->Right->Left->Right->Left->DONE,11,9,115719,Right->Right->Down->Left->Right->Up->Left->Right->Left->Right->Left->DONE
123456780,123506478,11,9,109304,Right->Right->Down->Left->Right->Up->Down->Left->Right->Up->Left->DONE,11,9,123576,Right->Right->Down->Left->Right->Up->Down->Left->Right->Up->Left->DONE
123456780,130526478,11,12,151737,Right->Right->Down->Left->Down->Left->Right->Up->Right->Up->Left->DONE,11,12,171026,Right->Right->Down->Left->Down->Left->Right->Up->Right->Up->Left->DONE
123456780,130426758,11,9,107810,Right->Down->Down->Left->Right->Up->Down->Up->Left->Right->Up->DONE,11,9,114461,Right->Down->Down->Left->Right->Up->Down->Up->Left->Right->Up->DONE
123456780,123460758,11,8,118488,Right->Down->Left->Up->Down->Right->Down->Up->Up->Down->Up->DONE,11,8,98493,Right->Down->Left->Up->Down->Right->Down->Up->Up->Down->Up->DONE
123456780,23156478,11,7,74658,Right->Right->Down->Down->Up->Left->Left->Right->Right->Up->Left->DONE,11,7,81366,Right->Right->Down->Down->Up->Left->Left->Right->Right->Up->Left->DONE
123456780,103426758,11,8,78769,Right->Down->Down->Up->Right->Left->Down->Up->Up->Right->Left->DONE,11,8,72172,Right->Down->Down->Up->Right->Left->Down->Up->Up->Right->Left->DONE
123456780,123506478,11,9,53707,Right->Right->Down->Left->Right->Left->Right->Up->Down->Up->Left->DONE,11,9,58763,Right->Right->Down->Left->Right->Left->Right->Up->Down->Up->Left->DONE
123456780,123506478,11,9,47795,Right->Right->Down->Left->Left->Right->Down->Up->Right->Up->Left->DONE,11,9,49145,Right->Right->Down->Left->Left->Right->Down->Up->Right->Up->Left->DONE
